SKU,商品名稱,類別,安全庫存,北區倉,中區倉,南區倉,總量,狀態
a01,不鏽鋼悶燒罐,appliance_kitchen,40,130,81,23,234,正常
a02,蒸氣電熨斗,appliance_kitchen,20,73,28,24,125,正常
a03,陶瓷不沾鍋 28cm,appliance_kitchen,30,99,55,47,201,正常
a04,電動牙刷,appliance_kitchen,25,66,14,15,95,正常
a05,迷你果汁機,appliance_kitchen,35,62,45,22,129,正常
a06,全自動咖啡機,appliance_kitchen,25,44,24,22,90,正常
a07,手沖咖啡壺組,appliance_kitchen,40,112,56,40,208,正常
a08,野炊鍋具組,appliance_kitchen,35,60,43,58,161,正常
a09,玻璃保鮮盒 5入,appliance_kitchen,70,199,128,53,380,正常
a10,除塵電動拖把,appliance_kitchen,30,91,32,30,153,正常
c01,純棉素T 男款,apparel,100,314,171,148,633,正常
c02,羊毛保暖襪 3雙入,apparel,150,382,120,141,643,正常
c03,輕量羽絨外套,apparel,40,13,95,64,172,正常
c04,牛仔長褲 男款,apparel,60,199,79,37,315,正常
c05,彈性運動內衣,apparel,80,275,192,52,519,正常
c06,機能排汗衣,apparel,110,268,100,161,529,正常
c07,運動壓縮臂套,apparel,90,283,91,101,475,正常
c08,嬰兒連身衣,apparel,100,260,125,159,544,正常
c09,保暖毛帽,apparel,90,205,104,108,417,正常
c10,防曬遮陽帽,apparel,100,306,114,93,513,正常
d01,抗菌洗衣精 4kg,daily_goods,120,177,223,180,580,正常
d02,三層抽取衛生紙,daily_goods,200,455,181,202,838,正常
d03,天然沐浴乳 1L,daily_goods,100,374,169,171,714,正常
d04,蚊香液補充瓶,daily_goods,150,509,122,212,843,正常
d05,強力垃圾袋 50入,daily_goods,180,528,308,157,993,正常
d06,嬰兒紙尿布 L,daily_goods,140,396,138,150,684,正常
d07,嬰兒濕紙巾,daily_goods,200,471,484,320,1275,正常
d08,防蚊液,daily_goods,130,243,214,100,557,正常
d09,橡膠清潔手套,daily_goods,160,564,364,146,1074,正常
d10,咖啡濾紙 100入,daily_goods,140,396,256,103,755,正常
e01,無線藍牙耳機,electronics,50,141,42,44,227,正常
e02,行動電源 10000mAh,electronics,80,141,164,109,414,正常
e03,USB-C 快充線 2M,electronics,150,56,71,70,197,正常
e04,藍牙喇叭,electronics,30,38,35,20,93,正常
e05,智慧手環,electronics,40,50,45,53,148,正常
e06,手機防摔殼,electronics,120,310,140,151,601,正常
e07,無線滑鼠,electronics,90,293,72,136,501,正常
e08,機械式鍵盤,electronics,40,119,55,29,203,正常
e09,14吋筆電包,electronics,60,218,82,40,340,正常
e10,桌上型 USB 風扇,electronics,100,144,224,127,495,正常
f01,氣泡水 500ml,food_beverage,300,1116,566,366,2048,正常
f02,經典黑咖啡豆 1kg,food_beverage,60,176,133,89,398,正常
f03,蜂蜜檸檬茶 600ml,food_beverage,250,446,213,233,892,正常
f04,綜合堅果罐 500g,food_beverage,90,169,104,151,424,正常
f05,全麥蘇打餅 200g,food_beverage,180,618,240,241,1099,正常
f06,精釀啤酒 6入,food_beverage,100,220,235,110,565,正常
f07,電解質運動飲,food_beverage,220,412,268,270,950,正常
f08,高蛋白乳清飲,food_beverage,160,299,287,260,846,正常
f09,熱可可粉 300g,food_beverage,110,244,129,192,565,正常
f10,濾掛咖啡 20入,food_beverage,130,324,124,80,528,正常
s01,瑜珈墊 6mm,sports,50,186,95,54,335,正常
s02,登山水壺 1L,sports,80,201,80,66,347,正常
s03,彈力健身環,sports,70,30,45,27,102,正常
s04,啞鈴 5kg 一對,sports,45,79,41,20,140,正常
s05,運動毛巾 100x30cm,sports,120,214,280,189,683,正常
s06,露營帳篷 4人,sports,25,34,30,33,97,正常
s07,折疊露營椅,sports,60,104,61,100,265,正常
s08,慢跑鞋 男款,sports,40,106,64,59,229,正常
s09,露營馬克杯,sports,90,293,101,60,454,正常
s10,LED 露營燈,sports,55,126,83,61,270,正常
