# 英文版守衛庫 — 對照中文 regression_corpus.txt 的類別覆蓋，
# 但測的是**英文特有邊界**（英文錯字/模糊描述/英文閒聊），非翻譯中文守衛。
# 格式：類別|題目[|回答必含關鍵字]（ACCEPT 規則見 regression_ws.py）
# 由 gen_guard_en.py 產生；新抓到的 bug 句請直接追加在檔尾。

# ═══ inv (n=527) ═══
inv|earbuds availability|Bluetooth
inv|earbuds inventory|Bluetooth
inv|earbuds stock|Bluetooth
inv|how many bluetooth earbuds do we have|Bluetooth
inv|check bluetooth earbuds stock|Bluetooth
inv|bluetooth earbuds on hand|Bluetooth
inv|central bluetooth earphones stock|Bluetooth
inv|how many Wireeless Bluetouth Earpones left|Bluetooth
inv|phone charger availability|Power
inv|hows the phone charger stock looking|Power
inv|check phone charger stock|Power
inv|any powerbank in stock|Power
inv|whats the powerbank count|Power
inv|powerbank stock|Power
inv|check power bank in the south warehouse|Power
inv|hows the pwerbank stock looking|Power
inv|how many usb c cable do we have|Charging
inv|check usb c cable stock|Charging
inv|usb c cable inventory|Charging
inv|how many charger cable left|Charging
inv|how many charger cable do we have|Charging
inv|charger cable inventory|Charging
inv|usb-c cable in central|Charging
inv|usbc cablle inventory|Charging
inv|show me Bluetooth Speaker stock|Bluetooth
inv|how many Bluetooth Speaker do we have|Bluetooth
inv|Bluetooth Speaker on hand|Bluetooth
inv|how many wireless speaker do we have|Bluetooth
inv|how many wireless speaker left|Bluetooth
inv|do we have wireless speaker|Bluetooth
inv|north wireless speaker stock|Bluetooth
inv|do we have wieless speakir|Bluetooth
inv|any fitness band in stock|Fitness
inv|how many fitness band left|Fitness
inv|fitness band on hand|Fitness
inv|whats the Smart Fitness Band count|Fitness
inv|Smart Fitness Band inventory|Fitness
inv|show me Smart Fitness Band stock|Fitness
inv|how many activity band at north|Fitness
inv|how many actovity band do we have|Fitness
inv|case on hand|Protective
inv|show me case stock|Protective
inv|case stock|Protective
inv|protective case on hand|Protective
inv|how many protective case left|Protective
inv|show me protective case stock|Protective
inv|check phone cover in the central warehouse|Protective
inv|how many phonne coaer left|Protective
inv|how many cordless mouse left|Wireless
inv|whats the cordless mouse count|Wireless
inv|how many cordless mouse do we have|Wireless
inv|hows the Wireless Mouse stock looking|Wireless
inv|show me Wireless Mouse stock|Wireless
inv|how many Wireless Mouse left|Wireless
inv|central wireless mouse stock|Wireless
inv|cordles mose availability|Wireless
inv|do we have Mechanical Keyboard|Mechanical
inv|check Mechanical Keyboard stock|Mechanical
inv|any Mechanical Keyboard in stock|Mechanical
inv|check mech keyboard stock|Mechanical
inv|hows the mech keyboard stock looking|Mechanical
inv|mech keyboard on hand|Mechanical
inv|how many keyboard at south|Mechanical
inv|keyyboard on hand|Mechanical
inv|notebook bag stock|Laptop
inv|how many notebook bag left|Laptop
inv|whats the notebook bag count|Laptop
inv|computer bag on hand|Laptop
inv|hows the computer bag stock looking|Laptop
inv|how many computer bag do we have|Laptop
inv|central laptop case stock|Laptop
inv|whats the lapptop case count|Laptop
inv|check usb fan stock|Desktop
inv|usb fan availability|Desktop
inv|any usb fan in stock|Desktop
inv|show me mini fan stock|Desktop
inv|mini fan availability|Desktop
inv|do we have mini fan|Desktop
inv|mini fan in south|Desktop
inv|hows the vacuum jar stock looking|Stainless
inv|how many vacuum jar do we have|Stainless
inv|check vacuum jar stock|Stainless
inv|hows the Stainless Steel Thermal Food Jar stock looking|Stainless
inv|Stainless Steel Thermal Food Jar inventory|Stainless
inv|how many Stainless Steel Thermal Food Jar left|Stainless
inv|how many thermos jar at central|Stainless
inv|check electric iron stock|Steam
inv|electric iron stock|Steam
inv|how many electric iron left|Steam
inv|how many Steam Iron do we have|Steam
inv|whats the Steam Iron count|Steam
inv|Steam Iron inventory|Steam
inv|clothes iron in north|Steam
inv|do we have stteam iron|Steam
inv|how many frying pan do we have|Ceramic
inv|hows the frying pan stock looking|Ceramic
inv|how many frying pan left|Ceramic
inv|cooking pan on hand|Ceramic
inv|how many cooking pan do we have|Ceramic
inv|whats the cooking pan count|Ceramic
inv|how many non-stick pan at north|Ceramic
inv|any nonn-stick pan in stock|Ceramic
inv|power toothbrush availability|Toothbrush
inv|power toothbrush inventory|Toothbrush
inv|check power toothbrush stock|Toothbrush
inv|show me rechargeable toothbrush stock|Toothbrush
inv|rechargeable toothbrush availability|Toothbrush
inv|how many rechargeable toothbrush do we have|Toothbrush
inv|south rechargeable toothbrush stock|Toothbrush
inv|Electrc Toothbrush stock|Toothbrush
inv|juicer stock|Blender
inv|how many juicer left|Blender
inv|how many juicer do we have|Blender
inv|any juice blender in stock|Blender
inv|do we have juice blender|Blender
inv|juice blender availability|Blender
inv|north juicer stock|Blender
inv|jice blener stock|Blender
inv|do we have Automatic Coffee Machine|Automatic
inv|how many Automatic Coffee Machine left|Automatic
inv|Automatic Coffee Machine on hand|Automatic
inv|any automatic coffee maker in stock|Automatic
inv|how many automatic coffee maker do we have|Automatic
inv|automatic coffee maker stock|Automatic
inv|check coffee maker in the central warehouse|Automatic
inv|how many coffeee mchine do we have|Automatic
inv|any drip coffee set in stock|Coffee
inv|hows the drip coffee set stock looking|Coffee
inv|do we have drip coffee set|Coffee
inv|whats the coffee kettle set count|Coffee
inv|check coffee kettle set stock|Coffee
inv|hows the coffee kettle set stock looking|Coffee
inv|how many Pour-over Coffee Set at central|Coffee
inv|hows the Pour-ovr Coffeee Set stock looking|Coffee
inv|hows the cookware set stock looking|Cookware
inv|cookware set availability|Cookware
inv|cookware set stock|Cookware
inv|how many Camping Cookware Set do we have|Cookware
inv|hows the Camping Cookware Set stock looking|Cookware
inv|check Camping Cookware Set stock|Cookware
inv|how many camping cookware at north|Cookware
inv|Glass Food Containers 5pcs inventory|Containers
inv|do we have Glass Food Containers 5pcs|Containers
inv|how many Glass Food Containers 5pcs left|Containers
inv|whats the storage containers count|Containers
inv|how many storage containers left|Containers
inv|storage containers availability|Containers
inv|check food containers in the south warehouse|Containers
inv|food conntainers on hand|Containers
inv|mop on hand|Electric
inv|mop inventory|Electric
inv|show me mop stock|Electric
inv|how many spin mop left|Electric
inv|any spin mop in stock|Electric
inv|show me spin mop stock|Electric
inv|how many mop at south|Electric
inv|any cordlesss mop in stock|Electric
inv|hows the Sparkling Water 500ml stock looking|Sparkling
inv|Sparkling Water 500ml availability|Sparkling
inv|whats the Sparkling Water 500ml count|Sparkling
inv|show me fizzy water stock|Sparkling
inv|how many fizzy water do we have|Sparkling
inv|do we have fizzy water|Sparkling
inv|north Sparkling Water 500ml stock|Sparkling
inv|do we have sprkling wateer|Sparkling
inv|roasted coffee beans availability|Classic
inv|any roasted coffee beans in stock|Classic
inv|do we have roasted coffee beans|Classic
inv|do we have coffee bean|Classic
inv|how many coffee bean do we have|Classic
inv|any coffee bean in stock|Classic
inv|check coffee bean in the central warehouse|Classic
inv|black cooffee beans on hand|Classic
inv|hows the honey lemon tea stock looking|Honey
inv|honey lemon tea availability|Honey
inv|whats the honey lemon tea count|Honey
inv|how many Honey Lemon Tea 600ml do we have|Honey
inv|whats the Honey Lemon Tea 600ml count|Honey
inv|Honey Lemon Tea 600ml stock|Honey
inv|lemon tea in central|Honey
inv|do we have nut mix|Mixed
inv|nut mix on hand|Mixed
inv|check nut mix stock|Mixed
inv|assorted nuts stock|Mixed
inv|hows the assorted nuts stock looking|Mixed
inv|show me assorted nuts stock|Mixed
inv|central nut mix stock|Mixed
inv|biscuits on hand|Crackers
inv|biscuits availability|Crackers
inv|how many biscuits do we have|Crackers
inv|soda crackers inventory|Crackers
inv|hows the soda crackers stock looking|Crackers
inv|how many soda crackers left|Crackers
inv|wheat crackers in south|Crackers
inv|how many crackees left|Crackers
inv|beer pack availability|Craft
inv|how many beer pack do we have|Craft
inv|hows the beer pack stock looking|Craft
inv|whats the Craft Beer 6-pack count|Craft
inv|check Craft Beer 6-pack stock|Craft
inv|how many Craft Beer 6-pack left|Craft
inv|how many beer pack at south|Craft
inv|energy drink stock|Electrolyte
